工业和信息化部办公厅关于印发部民用爆炸物品专家咨询委员会委员名单的通知
发布日期: 2018-08-07 
工信厅安全〔2018〕48号
各省、自治区、直辖市民爆行业主管部门，相关单位：
为进一步推进民爆行业安全发展，聘请吴风来等100名专家组成工业和信息化部民用爆炸物品专家咨询委员会。现将委员名单印发你们，请充分发挥民爆行业咨询委的作用，切实抓好民爆行业管理和民爆行业安全监管工作落实。
　　特此通知。　　附件：工业和信息化部民用爆炸物品专家咨询委员会名单
　　
工业和信息化部办公厅 
2018年6月29日
附件：　　
工业和信息化部民用爆炸物品专家咨询委员会名单　　
序号 姓名 委员会职务 单位 职称  
1 吴风来 主任委员  
2 李维嘉 副主任委员  
3 吕春绪 副主任委员 南京理工大学 教授  
4 李宏志 副主任委员 四川省国防科工办 副主任（退休） 
5 于永华 委员 湖北凯龙化工集团股份有限公司 高级工程师  
6 才洪义 委员 黑龙江省工信委安全生产行业保密处 副处长  
7 王玉生 委员 河南省国防科学技术工业局 民爆局副局长  
8 王庆土 委员 福建海峡科化股份有限公司 高级工程师  
9 王林 委员 宁夏天长民爆器材有限责任公司 高级工程师  
10 王建国 委员 酒钢集团甘肃兴明民爆器材有限责任公司 高级工程师  
11 王越胜 委员 杭州电子科技大学 教授级高工  
12 文勇 委员 北京矿冶研究总院 研究员级高工  
13 计晓科 委员 中煤科工集团沈阳设计院有限公司 教授级高工  
14 邓安健 委员 湖南南岭民用爆破器材股份有限公司 高级工程师  
15 石葱岭 委员 安徽雷鸣科化公司 高级工程师  
16 龙德权 委员 西昌永盛实业有限责任公司 教授级高工  
17 占必文 委员 保利久联控股集团有限责任公司 研究员  
18 白利军 委员 山西同德化工股份有限公司 高级工程师  
19 包玉刚 委员 抚顺矿业集团有限责任公司十一厂 高级工程师  
20 成志强 委员 湖南金能科技股份有限公司 教授级高工  
21 曲秀 委员 大连经信委 处长  
22 朱根华 委员 中国葛洲坝集团易普力股份有限公司墨竹工卡分公司 高级工程师  
23 朱福元 委员 淮南舜泰化工有限责任公司 高级工程师 
24 乔枫革 委员 中国兵器工业规划研究院 教授级高工  
25 任流润 委员 山西江阳兴安民爆器材有限责任公司 研究员级高工  
26 邬本志 委员 安徽江南化工股份有限公司 正高工  
27 刘一成 委员 安徽经信委 副巡视员  
28 刘大斌 委员 南京理工大学 研究员  
29 刘安光 委员 湖南省国防科工局 处长（退休）  
30 刘红军 委员 山西省国防科工办 副处长  
31 许万忠 委员 黑龙江盛安民爆公司 高级工程师  
32 许道峰 委员 湖北卫东化工集团股份有限公司 高级工程师  
33 阮小生 委员 海南云海民爆有限责任公司 高级工程师  
34 孙英祥 委员 广东省民用爆破器材行业协会 教授级高工  
35 孙继林 委员 天津宏泰华凯科技有限公司 高级工程师  
36 杜华善 委员 中国葛洲坝集团易普力股份有限公司 研究员  
37 李峰 委员 浙江利民化工有限公司 教授级高工  
38 李长发 委员 甘肃久联民爆器材有限公司 正高工  
39 李志先 委员 山东凯乐化工有限公司 高级工程师  
40 李泽华 委员 北方爆破科技有限公司 研究员级高工  
41 李学平 委员 雅化集团绵阳实业有限公司 高级工程师  
42 李建军 委员 陕西省国防科技工业办公室 高级工程师  
